pomid,artist,scientific name,common name,geographic origin,physical description,specimen,year,notes on original,date created,variety,nal note
POM00001090,"Lower, Elsie E., b. 1882",Diospyros,persimmons,"Auburn, Lee County, Alabama, United States",1 art original : col. ; 17 x 25 cm. ,49609,1910,,1910-11-29,Taber 23,
POM00003835,"Shull, James Marion, 1872-1948",Diospyros,persimmons,"Williamsburg, Virginia, United States",1 art original : col. ; 18 x 24 cm. ,1304,1923,Collected 06/19/1923,1923,Tamopan,
POM00001091,"Steadman, Royal Charles, b. 1875",Diospyros,persimmons,"Riverside, Riverside County, California, United States",1 art original : col. ; 17 x 25 cm. ,91838,1916,,1916-12-04,Tamopan,
POM00001138,"Newton, Amanda Almira, ca. 1860-1943",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,49197,1910,"Yearbook U.S. Dept. of Agriculture, 1910",1910-10-26,Tamopan,
POM00003799,,Diospyros,persimmons,"Florida, United States",1 art original : col. ; 17 x 25 cm. ,[00024],1887,"About right, when fully worked out",1887,Tane Nashi,Assigned specimen number
POM00003800,"Prestele, William Henry, 1838-1895",Diospyros,persimmons,"Eustis, Lake County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,[00025],1888,,1888,Tane Nashi,Assigned specimen number
POM00001073,"Schutt, Ellen Isham, 1873-1955",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,62241,1913,"Well Matured fruit. Picked Fall 1912. Sliced and dried by Mr. Gore; Held in 32°, stored until 02/05/1913",1913-02-07,Tane Nashi,
POM00001139,"Passmore, Deborah Griscom, 1840-1911",Diospyros,persimmons,"Dinsmore, Duval County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,36742,1906,,1906-09-22,Tane Nashi,
POM00001140,"Steadman, Royal Charles, b. 1875",Diospyros,persimmons,"Philema, Lee County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,105273,1924,[U?].S.P. Field Station,1924-10-08,Tane Nashi,
POM00001141,"Schutt, Ellen Isham, 1873-1955",Diospyros,persimmons,"Fresno, Fresno County, California, United States",1 art original : col. ; 17 x 25 cm. ,37298,1906,"U.S. Department of Agriculture, Shipping Point Inspection",1906-11-05,Tane Nashi,
POM00001142,"Strange, M.",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,73583,1914,27036,1914-09-28,Tane Nashi (Shibu),
POM00001143,"Newton, Amanda Almira, ca. 1860-1943",Diospyros,persimmons,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 15 x 24 cm. ,9126 1/2,1916,,1916-11-25,Tein Shinn,
POM00003836,"Passmore, Deborah Griscom, 1840-1911",Diospyros,persimmons,"Denison, Grayson County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,49278a,1910,,1910-11-03,Togo,
POM00001144,"Schutt, Ellen Isham, 1873-1955",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,67993,1913,"Yearbook U.S. Dept. of Agriculture, 1913",1913-12-01,Triumph,
POM00001103,"Heiges, Bertha",Citrus paradisi,grapefruits,"Ankona, Saint Lucie County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,24407a,1902,,1902-03-29,Standard,Changed Brevard County to Saint Lucie County
POM00006617,"Passmore, Deborah Griscom, 1840-1911",Citrus paradisi,grapefruits,"Orlando, Orange County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,35724,1906,Possible a Tangerine,1906-02-23,Thornton No. 2,
POM00001104,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Santiago de las Vegas, Havana, Ciudad de la Habana, Cuba",1 art original : col. ; 17 x 25 cm. ,41093,1908,,1908-07-11,Towus,
POM00001105,"Heiges, Bertha",Citrus paradisi,grapefruits,"Los Angeles, Los Angeles County, California, United States",1 art original : col. ; 17 x 24 cm. ,13528,1897,,1897,Triumph,
POM00001106,"Arnold, Mary Daisy, ca. 1873-1955",Citrus paradisi,grapefruits,West Indies,1 art original : col. ; 16 x 25 cm. ,80335,1915,Isle of Pines,1915-03-02,Walters,
POM00001107,"Arnold, Mary Daisy, ca. 1873-1955",Citrus paradisi,grapefruits,West Indies,1 art original : col. ; 16 x 25 cm. ,80335a,1915,Isle of Pines,1915-03-04,Walters,
POM00001108,"Schutt, Ellen Isham, 1873-1955",Citrus paradisi,grapefruits,"Exeter, Tulare County, California, United States",1 art original : col. ; 17 x 25 cm. ,50425,1911,S.P.I. 11665,1911-03-23,White Sweet,
POM00000333,"Steadman, Royal Charles, b. 1875",Citrus reticulata,mandarins,,1 art original : col. ; 17 x 25 cm. ,103822,1923,,1923-10-26,,
POM00006596,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,,1 art original : col. ; 18 x 24 cm. ,1478,1926,Citrus x tangerina; Lot 1,1926,,
POM00006597,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,,1 art original : col. ; 17 x 24 cm. ,1477,1926,Citrus x tangerina; Lot 3,1926,,
POM00006598,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,"Orlando, Orange County, Florida, United States",1 art original : col. ; 16 x 24 cm. ,1543,1928,Citrus x tangerina; Experimentally induced by lack of ventilation with Eth[ylene] gas treatment; December 8,1928,,
POM00006736,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,"Orlando, Orange County, Florida, United States",1 art original : col. ; 18 x 24 cm. ,1544,1928,Citrus x tangerina; Experimentally induced by lack of ventilation with Eth[ylene] gas treatment,1928,,
POM00006738,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,,1 art original : col. ; 17 x 24 cm. ,1545,1928,Citrus x tangerina; Phomopsis in culture,1928,,
POM00005979,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,"Orlando, Orange County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,1546,1928,Citrus x tangerina; Injury aggravated by surface moisture,1928,,
POM00006387,"Steadman, Royal Charles, b. 1875",Citrus reticulata,tangerines,,1 art original : col. ; 17 x 25 cm. ,96622,1919,,1919-01-07,Dancy,
POM00006443,"Steadman, Royal Charles, b. 1875",Citrus reticulata,tangerines,"Brawley, Imperial County, California, United States",1 art original : col. ; 17 x 25 cm. ,96605,1918,,1918-12-21,Francis Heiney,
POM00006444,"Steadman, Royal Charles, b. 1875",Citrus reticulata,tangerines,"Ocala, Marion County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,107323,1926,"Parent tree a seedling of the ""Chinese Honey Orange"" grown at Campville, Florida",1926-01-14,Manurco,
POM00000299,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,762,1914,"Damp chamber culture at 60 degree Fah[renheit]; Culture No. 1494, C.H. Hasse, Stage as of 03/05/1914; Compare with 763-4-5",1914,,
POM00000300,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,763,1914,"Basket culture, paper wrap, 60 degree Fah[renheit];  Culture No.1504, C.H. Hasse, Stage as of 03/05; Compare with 762-4-5",1914,,
POM00000330,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Citrus sinensis,oranges,"Washington, D.C., United States",1 art original : col. ; 18 x 24 cm. ,11938,1938,Orange with peculiar center; Phillip W. Austin; 30-33,1938,,
POM00002899,"Heiges, Bertha",Malus domestica,apples,"Everton, Dade County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,23896,1902,,1902-02-05,Paynes Late Keeper,
POM00002900,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Kansas City, Jackson County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,21205,1901,4000 Warwick Boulevard,1901,Paynes Late Keeper,
POM00002902,"Heiges, Bertha",Malus domestica,apples,"Rock Point, Charles County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,26737,1902,,1902-11-13,Pear Apple,
POM00002903,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Greenwood, Indiana, United States",1 art original : col. ; 16 x 25 cm. ,73615,1914,,1914-10-13,Pearl,
POM00002904,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"McKenzie, Carroll County, Tennessee, United States",1 art original : col. ; 17 x 25 cm. ,41404,1908,,1908-08-13,Pearle,
POM00002905,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"McKenzie, Carroll County, Tennessee, United States",1 art original : col. ; 17 x 25 cm. ,41404a,1908,,1908-08-28,Pearle,
POM00003755,"Shull, James Marion, 1872-1948",Malus domestica,apples,,1 art original : col. ; 15 x 24 cm. ,1198,1920,Phi northwest,1920,Pearmain,
POM00002906,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Lake Mills, Jefferson County, Wisconsin, United States",1 art original : col. ; 16 x 25 cm. ,20442,1900,,1900,Pearsons Pippin,
POM00004276,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,,1 art original : col. ; 17 x 25 cm. ,[00051],,"A type of drought spot on Oldenburg apples, Beltsville Horticultural Station orchard; Material collected June 18, at the end of approximately 6 weeks of very hot dry weather",,Peasgood Nonesuch,Assigned specimen number
POM00002403,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Missoula, Missoula County, Montana, United States",1 art original : col. ; 17 x 25 cm. ,39509,1907,,1907-10-18,Peasgood Nonesuch,
POM00002908,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Farmingdale, Sangamon County, Illinois, United States",1 art original : col. ; 17 x 25 cm. ,44307,1909,,1909-09-12,Peasgood Nonesuch,
POM00002909,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,107798,1926,"Section I, Row 1, Tree 3; Picked 08/27/1926",1926-09-09,Peasgood Nonesuch,
POM00002910,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Freehold, Monmouth County, New Jersey, United States",1 art original : col. ; 17 x 25 cm. ,61887,1913,,1913-01-13,Peck,Changed Monmouth to Freehold
POM00002911,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,105607,1925,"Section D, Row 13-14, Tree 1; Accession Number 3098",1925-02-24,Peck,
POM00002913,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Freehold, Monmouth County, New Jersey, United States",1 art original : col. ; 17 x 26 cm. ,61887a,1913,,1913-01-10,Peck,Changed Monmouth to Freehold
POM00002914,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Massies Mill, Nelson County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,35624,1906,,1906-03-03,Peck Pleasant,Alternative variety name(s):  Peck
POM00002916,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Mountain Grove, Wright County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,94659,1918,,1918-01-05,Peck Pleasant,
POM00002915,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Lyndon, Ross County, Ohio, United States",1 art original : col. ; 16 x 25 cm. ,18974,,,,Pecks,Alternative variety name(s):  Peck
POM00004277,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Hancock, Washington County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,[00052],,,,Pedro,Assigned specimen number
POM00002912,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Ottawa, Ontario, Canada",1 art original : col. ; 17 x 25 cm. ,111203 1/2,1930,"Exhibited at meeting of NY State Fruit Testing Assoc. at Geneva, NY",1930-02,Pedro,
POM00001717,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Hancock, Washington County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,43058,1909,,1909-01-27,Brooke Blushed,
POM00001718,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Sandy Spring, Montgomery County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,36589,1906,,1906-09-12,Brooke Striped,
POM00001400,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Jefferson, Marion County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,15911,1898,"Syn. of Caddo; See July 26, 1898",1898,Brooks,
POM00001720,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Lynchburg, Virginia, United States",1 art original : col. ; 17 x 24 cm. ,14756,1895,,1895-10-18,Buckingham,
POM00001721,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,64844,1913,,1913-10-24,Buckskin,
POM00001722,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Charles City, Floyd County, Iowa, United States",1 art original : col. ; 17 x 26 cm. ,39544,1907,,1907-12-07,Buckskin,
POM00001656,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Paint Gap, Yancey County, North Carolina, United States",1 art original : col. ; 17 x 25 cm. ,19253,1900,,1900,Buff,
POM00001658,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Clemson, Oconee County, South Carolina, United States",1 art original : col. ; 17 x 25 cm. ,35289,1905,,1905,Buff,
POM00001659,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,105606,1924,"Section D, Row 3-4, Tree 1",1924-11-14,Bughorn,
POM00001661,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Kendrick, Latah County, Idaho, United States",1 art original : col. ; 17 x 24 cm. ,15278,1898,,1898,Bullock,Alternative variety name(s):  Golden [Rupet]?
POM00001662,"Heiges, Bertha",Malus domestica,apples,"Blowing Rock, Watauga County, North Carolina, United States",1 art original : col. ; 16 x 25 cm. ,27471,1902,,1902-12-10,Bullock,
POM00001663,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Ingham County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,34039,1905,,1905-06-03,Buncombe,
POM00001664,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Fairfax, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,59634,1912,,1912-10-12,Buncombe,
POM00001665,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Denver, Arapahoe County, Colorado, United States",1 art original : col. ; 17 x 25 cm. ,35405,1905,,1905-12-01,Buncombe,
POM00001666,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Raleigh, Wake County, North Carolina, United States",1 art original : col. ; 17 x 25 cm. ,49300,1910,,1910-11-23,Buncombe,Changed West Raleigh to Raleigh
POM00001391,"Heiges, Bertha",Malus domestica,apples,"West Plains, Howell County, Missouri, United States",1 art original : col. ; 16 x 25 cm. ,24365,1902,,1902-03-18,Burke,
POM00001667,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"West Plains, Howell County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,32454,1904,,1904,Burke,
POM00000036,"Van Deman, Henry G.",Malus domestica,apples,"Albia, Monroe County, Iowa, United States",1 art reproduction ; 19 x 11 cm. ,[00046],1886,86,1886,Burlington,Assigned specimen number
POM00001392,"Heiges, Bertha",Malus domestica,apples,"Lynnville, Giles County, Tennessee, United States",1 art original : col. ; 16 x 25 cm. ,18401,1899,,1899-10-10,Burrow,
POM00001393,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Excelsior, Hennepin County, Minnesota, United States",1 art original : col. ; 16 x 25 cm. ,33181,1905,,1905-01-13,Burt,
POM00007373,"Shull, James Marion, 1872-1948",Ananas comosus,pineapples,Cuba,1 art original : col. ; 18 x 24 cm. ,1153,1919,,1919,Pineapple,
POM00007374,"Shull, James Marion, 1872-1948",Ananas comosus,pineapples,Cuba,1 art original : col. ; 17 x 24 cm. ,1155,1919,Secondary inoculation with bacteria,1919,Pineapple,
POM00007375,"Passmore, Deborah Griscom, 1840-1911",Annona cherimola,cherimoyas,"Fallbrook, San Diego County, California, United States",1 art original : col. ; 17 x 25 cm. ,24620,1902,,1902-04-15,,
POM00007379,"Passmore, Deborah Griscom, 1840-1911",Annona cherimola,cherimoyas,"Key West, Monroe County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,17435,,,,,
POM00007380,"Passmore, Deborah Griscom, 1840-1911",Annona cherimola,cherimoyas,"Key West, Monroe County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,17435a,1899,,1899-04-22,,
POM00007376,"Lower, Elsie E., b. 1882",Annona cherimola,cherimoyas,"Orange, Orange County, California, United States",1 art original : col. ; 17 x 25 cm. ,46532,1910,,1910-03-29,Golden Russet,
POM00007377,"Lower, Elsie E., b. 1882",Annona cherimola,cherimoyas,"Orange, Orange County, California, United States",1 art original : col. ; 17 x 25 cm. ,46532a,1910,,1910-03-29,Golden Russet,
POM00007378,"Steadman, Royal Charles, b. 1875",Annona cherimola,cherimoyas,"Orange, Orange County, California, United States",1 art original : col. ; 17 x 25 cm. ,96634,1919,C.P. Taft,1919-01-13,Golden Russet,
POM00007424,"Steadman, Royal Charles, b. 1875",Annona cherimola,cherimoyas,"Orange, Orange County, California, United States",1 art original : col. ; 17 x 25 cm. ,96634a,1919,C.P. Taft,1919-01-14,Golden Russet,
POM00007381,"Schutt, Ellen Isham, 1873-1955",Annona reticulata,custard apple,"Miami, Dade County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,38160,1907,Sub-Trop. Laboratory,1907-04-01,,
POM00007382,"Schutt, Ellen Isham, 1873-1955",Annona reticulata,custard apple,,1 art original : col. ; 17 x 25 cm. ,50539,1911,,1911-04-18,,
POM00007383,"Schutt, Ellen Isham, 1873-1955",Annona reticulata,custard apple,,1 art original : col. ; 17 x 25 cm. ,50539a,1911,,1911-04-19,,
POM00007384,"Newton, Amanda Almira, ca. 1860-1943",Annona reticulata,custard apple,"Miami, Dade County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,38273a,1907,Cherimoya,1907-05-02,,
POM00007385,"Newton, Amanda Almira, ca. 1860-1943",Annona reticulata,custard apple,"Miami, Dade County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,38273,1907,Cherimoya,1907-05-01,,
POM00007386,"Schutt, Ellen Isham, 1873-1955",Annona reticulata,custard apple,"Miami, Dade County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,38273b,1907,Cherimoya,1907-05-02,,
POM00007388,"Passmore, Deborah Griscom, 1840-1911",Annona squamosa,sweetsops,"Santa Barbara, Santa Barbara County, California, United States",1 art original : col. ; 17 x 25 cm. ,46712,1910,Cherimoya,1910-04-10,Anona No. 5,
POM00007387,"Lower, Elsie E., b. 1882",Annona squamosa,sweetsops,"Santa Barbara, Santa Barbara County, California, United States",1 art original : col. ; 17 x 25 cm. ,46194,1910,Cherimoya,1910-02-01,No. 3,
POM00007389,"Passmore, Deborah Griscom, 1840-1911",Annona squamosa,sweetsops,"Villa City, Lake County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,4440,1892,,1892,Sweet Sop,
POM00007390,"Newton, Amanda Almira, ca. 1860-1943",Arachis,peanuts,"South Salem, Ross County, Ohio, United States",1 art original : col. ; 17 x 25 cm. ,40770,1909,,1909-05-10,,
POM00000862,"Steadman, Royal Charles, b. 1875",Asimina triloba,pawpaws (Eastern USA),"Maryland Park, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 26 cm. ,105500,1924,native pawpaw,1924-10-14,,
POM00000302,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,,1 art original : col. ; 16 x 24 cm. ,1119,1919,,1919,,
POM00000331,,Citrus paradisi,grapefruits,,1 art original : col. ; 17 x 24 cm. ,1281,,,,,
POM00000334,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Homestead, Miami-Dade County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,[00249],1920,"Common Florida Grapefruit; A, Picked September 29; Tree 7, Row 38; Stored at Arlington, Virginia, Cold Storage Plant, stored at about 64 degrees Fahrenheit for 8 months",1920-01-30,,Assigned specimen number
POM00000335,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Florida, United States",1 art original : col. ; 17 x 26 cm. ,[00250],1919,"Common Florida Grapefruit; 3rd pick; Tree 4, Row 40",1919-11-17,,Assigned specimen number
POM00000336,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Florida, United States",1 art original : col. ; 17 x 26 cm. ,941919a,1919,"Common Florida Grapefruit; Tree 4, Row 40. Picked August 25. Held in storage",1919,,
POM00000338,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Miami, Dade County, Florida, United States",1 art original : col. ; 18 x 24 cm. ,461,1911,From natural infection developed in damp chamber; See #452 for first stage,1911,,
POM00006515,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,,1 art original : col. ; 16 x 24 cm. ,1118,1919,,1919,,
POM00006516,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Wauchula, Hardee County, Florida, United States",1 art original : col. ; 19 x 23 cm. ,608,1912,See photograph also,1912,,
POM00006517,"Arnold, Mary Daisy, ca. 1873-1955",Citrus paradisi,grapefruits,,1 art original : col. ; 17 x 25 cm. ,99574,,,,,
POM00006543,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,,1 art original : col. ; 17 x 24 cm. ,996,1917,x6; Moist chamber inoculations. Not typical for natural infection,1917,,
POM00006544,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Kingsville, Kleberg County, Texas, United States",1 art original : col. ; 18 x 24 cm. ,746,1913,First Specimen received and considered at the time to be new or unknown disease,1913,,
POM00006545,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"League City, Galveston County, Texas, United States",1 art original : col. ; 17 x 24 cm. ,842,1914,Citrus canker on leaf; Collected by R. Kent Beattie,1914,,
POM00006546,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Coden, Mobile County, Alabama, United States",1 art original : col. ; 17 x 24 cm. ,928,1916,"Citrus canker on twig.  Collected by C.H. Hasse, 05/04/1916",1916,,
