pomid,artist,scientific name,common name,geographic origin,physical description,specimen,year,notes on original,date created,variety,nal note,cultivar
POM00006318,"Schutt, Ellen Isham, 1873-1955",Citrus sinensis,oranges,"Wildwood, Sumter County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,50431,1911.0,,1911-04-03,Pineapple,,citrus
POM00006319,"Arnold, Mary Daisy, ca. 1873-1955",Citrus sinensis,oranges,"Merritt Island, Brevard County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,113274,1936.0,Negative Number 21,1936,Pineapple,,citrus
POM00006320,"Arnold, Mary Daisy, ca. 1873-1955",Citrus sinensis,oranges,"Merritt Island, Brevard County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,113275,1936.0,Negative Number 13-2; Bruen Grove,1936,Pineapple,,citrus
POM00006322,"Passmore, Deborah Griscom, 1840-1911",Citrus sinensis,oranges,"Conant, Lake County, Florida, United States",1 art original : col. ; 17 x 24 cm. ,6432,1894.0,,1894,Pineapple,,citrus
POM00006324,"Newton, Amanda Almira, ca. 1860-1943",Citrus sinensis,oranges,"Manatee, Manatee County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,62249,1913.0,,1913-02-12,Pineapple,,citrus
POM00006749,"Lower, Elsie E., b. 1882",Citrus sinensis,oranges,"Wildwood, Sumter County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,50529,1911.0,"P. glancum. Slow development,  C.S. Pomeroy",1911-04-15,Pineapple,,citrus
POM00000298,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Citrus sinensis,oranges,,1 art original : col. ; 22 x 27 cm. ,113276,1936.0,Chau Isleworth Grove,1936,Pineapple Orange,,citrus
POM00001084,"Strange, M.",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,73180,1914.0,,1914-09-16,Ormiston,,
POM00001085,"Newton, Amanda Almira, ca. 1860-1943",Diospyros,persimmons,"Ormond Beach, Volusia County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,55043,1912.0,11/05/1912 copy,1912-01-19,Ormond,,
POM00001086,"Passmore, Deborah Griscom, 1840-1911",Diospyros,persimmons,"Cartersburg, Hendricks County, Indiana, United States",1 art original : col. ; 17 x 25 cm. ,35163,1905.0,"Yearbook U.S. Dept. of Agriculture, 1907",1905,Ruby,,
POM00001087,"Heiges, Bertha",Diospyros,persimmons,"Saxe, Charlotte County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,23330,1901.0,,1901-11-08,Saxe,,
POM00001088,"Steadman, Royal Charles, b. 1875",Diospyros,persimmons,"Chico, Butte County, California, United States",1 art original : col. ; 17 x 26 cm. ,107214,1925.0,S.P.I. No. 13864,1925-12-03,Shakumi,,
POM00001089,"Heiges, Bertha",Diospyros,persimmons,"Fayetteville, Cumberland County, North Carolina, United States",1 art original : col. ; 17 x 24 cm. ,23429,1901.0,,1901-11-26,Shimo Maru,,
POM00001090,"Lower, Elsie E., b. 1882",Diospyros,persimmons,"Auburn, Lee County, Alabama, United States",1 art original : col. ; 17 x 25 cm. ,49609,1910.0,,1910-11-29,Taber 23,,
POM00003835,"Shull, James Marion, 1872-1948",Diospyros,persimmons,"Williamsburg, Virginia, United States",1 art original : col. ; 18 x 24 cm. ,1304,1923.0,Collected 06/19/1923,1923,Tamopan,,
POM00001091,"Steadman, Royal Charles, b. 1875",Diospyros,persimmons,"Riverside, Riverside County, California, United States",1 art original : col. ; 17 x 25 cm. ,91838,1916.0,,1916-12-04,Tamopan,,
POM00001138,"Newton, Amanda Almira, ca. 1860-1943",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,49197,1910.0,"Yearbook U.S. Dept. of Agriculture, 1910",1910-10-26,Tamopan,,
POM00003799,,Diospyros,persimmons,"Florida, United States",1 art original : col. ; 17 x 25 cm. ,[00024],1887.0,"About right, when fully worked out",1887,Tane Nashi,Assigned specimen number,
POM00003800,"Prestele, William Henry, 1838-1895",Diospyros,persimmons,"Eustis, Lake County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,[00025],1888.0,,1888,Tane Nashi,Assigned specimen number,
POM00001073,"Schutt, Ellen Isham, 1873-1955",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,62241,1913.0,"Well Matured fruit. Picked Fall 1912. Sliced and dried by Mr. Gore; Held in 32°, stored until 02/05/1913",1913-02-07,Tane Nashi,,
POM00001139,"Passmore, Deborah Griscom, 1840-1911",Diospyros,persimmons,"Dinsmore, Duval County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,36742,1906.0,,1906-09-22,Tane Nashi,,
POM00001140,"Steadman, Royal Charles, b. 1875",Diospyros,persimmons,"Philema, Lee County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,105273,1924.0,[U?].S.P. Field Station,1924-10-08,Tane Nashi,,
POM00001141,"Schutt, Ellen Isham, 1873-1955",Diospyros,persimmons,"Fresno, Fresno County, California, United States",1 art original : col. ; 17 x 25 cm. ,37298,1906.0,"U.S. Department of Agriculture, Shipping Point Inspection",1906-11-05,Tane Nashi,,
POM00001142,"Strange, M.",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,73583,1914.0,27036,1914-09-28,Tane Nashi (Shibu),,
POM00001143,"Newton, Amanda Almira, ca. 1860-1943",Diospyros,persimmons,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 15 x 24 cm. ,9126 1/2,1916.0,,1916-11-25,Tein Shinn,,
POM00003836,"Passmore, Deborah Griscom, 1840-1911",Diospyros,persimmons,"Denison, Grayson County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,49278a,1910.0,,1910-11-03,Togo,,
POM00001144,"Schutt, Ellen Isham, 1873-1955",Diospyros,persimmons,"Glen Saint Mary, Baker County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,67993,1913.0,"Yearbook U.S. Dept. of Agriculture, 1913",1913-12-01,Triumph,,
POM00001103,"Heiges, Bertha",Citrus paradisi,grapefruits,"Ankona, Saint Lucie County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,24407a,1902.0,,1902-03-29,Standard,Changed Brevard County to Saint Lucie County,citrus
POM00006617,"Passmore, Deborah Griscom, 1840-1911",Citrus paradisi,grapefruits,"Orlando, Orange County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,35724,1906.0,Possible a Tangerine,1906-02-23,Thornton No. 2,,citrus
POM00001104,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Santiago de las Vegas, Havana, Ciudad de la Habana, Cuba",1 art original : col. ; 17 x 25 cm. ,41093,1908.0,,1908-07-11,Towus,,citrus
POM00001105,"Heiges, Bertha",Citrus paradisi,grapefruits,"Los Angeles, Los Angeles County, California, United States",1 art original : col. ; 17 x 24 cm. ,13528,1897.0,,1897,Triumph,,citrus
POM00001106,"Arnold, Mary Daisy, ca. 1873-1955",Citrus paradisi,grapefruits,West Indies,1 art original : col. ; 16 x 25 cm. ,80335,1915.0,Isle of Pines,1915-03-02,Walters,,citrus
POM00001107,"Arnold, Mary Daisy, ca. 1873-1955",Citrus paradisi,grapefruits,West Indies,1 art original : col. ; 16 x 25 cm. ,80335a,1915.0,Isle of Pines,1915-03-04,Walters,,citrus
POM00001108,"Schutt, Ellen Isham, 1873-1955",Citrus paradisi,grapefruits,"Exeter, Tulare County, California, United States",1 art original : col. ; 17 x 25 cm. ,50425,1911.0,S.P.I. 11665,1911-03-23,White Sweet,,citrus
POM00000333,"Steadman, Royal Charles, b. 1875",Citrus reticulata,mandarins,,1 art original : col. ; 17 x 25 cm. ,103822,1923.0,,1923-10-26,,,citrus
POM00006596,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,,1 art original : col. ; 18 x 24 cm. ,1478,1926.0,Citrus x tangerina; Lot 1,1926,,,citrus
POM00006597,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,,1 art original : col. ; 17 x 24 cm. ,1477,1926.0,Citrus x tangerina; Lot 3,1926,,,citrus
POM00006598,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,"Orlando, Orange County, Florida, United States",1 art original : col. ; 16 x 24 cm. ,1543,1928.0,Citrus x tangerina; Experimentally induced by lack of ventilation with Eth[ylene] gas treatment; December 8,1928,,,citrus
POM00006736,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,"Orlando, Orange County, Florida, United States",1 art original : col. ; 18 x 24 cm. ,1544,1928.0,Citrus x tangerina; Experimentally induced by lack of ventilation with Eth[ylene] gas treatment,1928,,,citrus
POM00006738,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,,1 art original : col. ; 17 x 24 cm. ,1545,1928.0,Citrus x tangerina; Phomopsis in culture,1928,,,citrus
POM00005979,"Shull, James Marion, 1872-1948",Citrus reticulata,tangerines,"Orlando, Orange County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,1546,1928.0,Citrus x tangerina; Injury aggravated by surface moisture,1928,,,citrus
POM00006387,"Steadman, Royal Charles, b. 1875",Citrus reticulata,tangerines,,1 art original : col. ; 17 x 25 cm. ,96622,1919.0,,1919-01-07,Dancy,,citrus
POM00006443,"Steadman, Royal Charles, b. 1875",Citrus reticulata,tangerines,"Brawley, Imperial County, California, United States",1 art original : col. ; 17 x 25 cm. ,96605,1918.0,,1918-12-21,Francis Heiney,,citrus
POM00006444,"Steadman, Royal Charles, b. 1875",Citrus reticulata,tangerines,"Ocala, Marion County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,107323,1926.0,"Parent tree a seedling of the ""Chinese Honey Orange"" grown at Campville, Florida",1926-01-14,Manurco,,citrus
POM00000299,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,762,1914.0,"Damp chamber culture at 60 degree Fah[renheit]; Culture No. 1494, C.H. Hasse, Stage as of 03/05/1914; Compare with 763-4-5",1914,,,citrus
POM00000300,"Shull, James Marion, 1872-1948",Citrus sinensis,oranges,,1 art original : col. ; 17 x 24 cm. ,763,1914.0,"Basket culture, paper wrap, 60 degree Fah[renheit];  Culture No.1504, C.H. Hasse, Stage as of 03/05; Compare with 762-4-5",1914,,,citrus
POM00000330,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Citrus sinensis,oranges,"Washington, D.C., United States",1 art original : col. ; 18 x 24 cm. ,11938,1938.0,Orange with peculiar center; Phillip W. Austin; 30-33,1938,,,citrus
POM00002899,"Heiges, Bertha",Malus domestica,apples,"Everton, Dade County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,23896,1902.0,,1902-02-05,Paynes Late Keeper,,apple
POM00002900,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Kansas City, Jackson County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,21205,1901.0,4000 Warwick Boulevard,1901,Paynes Late Keeper,,apple
POM00002902,"Heiges, Bertha",Malus domestica,apples,"Rock Point, Charles County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,26737,1902.0,,1902-11-13,Pear Apple,,apple
POM00002903,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Greenwood, Indiana, United States",1 art original : col. ; 16 x 25 cm. ,73615,1914.0,,1914-10-13,Pearl,,apple
POM00002904,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"McKenzie, Carroll County, Tennessee, United States",1 art original : col. ; 17 x 25 cm. ,41404,1908.0,,1908-08-13,Pearle,,apple
POM00002905,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"McKenzie, Carroll County, Tennessee, United States",1 art original : col. ; 17 x 25 cm. ,41404a,1908.0,,1908-08-28,Pearle,,apple
POM00003755,"Shull, James Marion, 1872-1948",Malus domestica,apples,,1 art original : col. ; 15 x 24 cm. ,1198,1920.0,Phi northwest,1920,Pearmain,,apple
POM00002906,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Lake Mills, Jefferson County, Wisconsin, United States",1 art original : col. ; 16 x 25 cm. ,20442,1900.0,,1900,Pearsons Pippin,,apple
POM00004276,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,,1 art original : col. ; 17 x 25 cm. ,[00051],,"A type of drought spot on Oldenburg apples, Beltsville Horticultural Station orchard; Material collected June 18, at the end of approximately 6 weeks of very hot dry weather",,Peasgood Nonesuch,Assigned specimen number,apple
POM00002403,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Missoula, Missoula County, Montana, United States",1 art original : col. ; 17 x 25 cm. ,39509,1907.0,,1907-10-18,Peasgood Nonesuch,,apple
POM00002908,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Farmingdale, Sangamon County, Illinois, United States",1 art original : col. ; 17 x 25 cm. ,44307,1909.0,,1909-09-12,Peasgood Nonesuch,,apple
POM00002909,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,107798,1926.0,"Section I, Row 1, Tree 3; Picked 08/27/1926",1926-09-09,Peasgood Nonesuch,,apple
POM00002910,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Freehold, Monmouth County, New Jersey, United States",1 art original : col. ; 17 x 25 cm. ,61887,1913.0,,1913-01-13,Peck,Changed Monmouth to Freehold,apple
POM00002911,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,105607,1925.0,"Section D, Row 13-14, Tree 1; Accession Number 3098",1925-02-24,Peck,,apple
POM00002913,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Freehold, Monmouth County, New Jersey, United States",1 art original : col. ; 17 x 26 cm. ,61887a,1913.0,,1913-01-10,Peck,Changed Monmouth to Freehold,apple
POM00002914,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Massies Mill, Nelson County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,35624,1906.0,,1906-03-03,Peck Pleasant,Alternative variety name(s):  Peck,apple
POM00002916,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Mountain Grove, Wright County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,94659,1918.0,,1918-01-05,Peck Pleasant,,apple
POM00002915,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Lyndon, Ross County, Ohio, United States",1 art original : col. ; 16 x 25 cm. ,18974,,,,Pecks,Alternative variety name(s):  Peck,apple
POM00004277,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Hancock, Washington County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,[00052],,,,Pedro,Assigned specimen number,apple
POM00002912,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Ottawa, Ontario, Canada",1 art original : col. ; 17 x 25 cm. ,111203 1/2,1930.0,"Exhibited at meeting of NY State Fruit Testing Assoc. at Geneva, NY",1930-02,Pedro,,apple
POM00001717,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Hancock, Washington County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,43058,1909.0,,1909-01-27,Brooke Blushed,,apple
POM00001718,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Sandy Spring, Montgomery County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,36589,1906.0,,1906-09-12,Brooke Striped,,apple
POM00001400,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Jefferson, Marion County, Texas, United States",1 art original : col. ; 17 x 25 cm. ,15911,1898.0,"Syn. of Caddo; See July 26, 1898",1898,Brooks,,apple
POM00001720,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Lynchburg, Virginia, United States",1 art original : col. ; 17 x 24 cm. ,14756,1895.0,,1895-10-18,Buckingham,,apple
POM00001721,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,64844,1913.0,,1913-10-24,Buckskin,,apple
POM00001722,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Charles City, Floyd County, Iowa, United States",1 art original : col. ; 17 x 26 cm. ,39544,1907.0,,1907-12-07,Buckskin,,apple
POM00001656,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Paint Gap, Yancey County, North Carolina, United States",1 art original : col. ; 17 x 25 cm. ,19253,1900.0,,1900,Buff,,apple
POM00001658,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Clemson, Oconee County, South Carolina, United States",1 art original : col. ; 17 x 25 cm. ,35289,1905.0,,1905,Buff,,apple
POM00001659,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,105606,1924.0,"Section D, Row 3-4, Tree 1",1924-11-14,Bughorn,,apple
POM00001661,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Kendrick, Latah County, Idaho, United States",1 art original : col. ; 17 x 24 cm. ,15278,1898.0,,1898,Bullock,Alternative variety name(s):  Golden [Rupet]?,apple
POM00001662,"Heiges, Bertha",Malus domestica,apples,"Blowing Rock, Watauga County, North Carolina, United States",1 art original : col. ; 16 x 25 cm. ,27471,1902.0,,1902-12-10,Bullock,,apple
POM00001663,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Ingham County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,34039,1905.0,,1905-06-03,Buncombe,,apple
POM00001664,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Fairfax, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,59634,1912.0,,1912-10-12,Buncombe,,apple
POM00001665,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Denver, Arapahoe County, Colorado, United States",1 art original : col. ; 17 x 25 cm. ,35405,1905.0,,1905-12-01,Buncombe,,apple
POM00001666,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Raleigh, Wake County, North Carolina, United States",1 art original : col. ; 17 x 25 cm. ,49300,1910.0,,1910-11-23,Buncombe,Changed West Raleigh to Raleigh,apple
POM00001391,"Heiges, Bertha",Malus domestica,apples,"West Plains, Howell County, Missouri, United States",1 art original : col. ; 16 x 25 cm. ,24365,1902.0,,1902-03-18,Burke,,apple
POM00001667,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"West Plains, Howell County, Missouri, United States",1 art original : col. ; 17 x 25 cm. ,32454,1904.0,,1904,Burke,,apple
POM00000036,"Van Deman, Henry G.",Malus domestica,apples,"Albia, Monroe County, Iowa, United States",1 art reproduction ; 19 x 11 cm. ,[00046],1886.0,86,1886,Burlington,Assigned specimen number,apple
POM00001392,"Heiges, Bertha",Malus domestica,apples,"Lynnville, Giles County, Tennessee, United States",1 art original : col. ; 16 x 25 cm. ,18401,1899.0,,1899-10-10,Burrow,,apple
POM00001393,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Excelsior, Hennepin County, Minnesota, United States",1 art original : col. ; 16 x 25 cm. ,33181,1905.0,,1905-01-13,Burt,,apple
POM00007373,"Shull, James Marion, 1872-1948",Ananas comosus,pineapples,Cuba,1 art original : col. ; 18 x 24 cm. ,1153,1919.0,,1919,Pineapple,,tropical fruit
POM00007374,"Shull, James Marion, 1872-1948",Ananas comosus,pineapples,Cuba,1 art original : col. ; 17 x 24 cm. ,1155,1919.0,Secondary inoculation with bacteria,1919,Pineapple,,tropical fruit
POM00007375,"Passmore, Deborah Griscom, 1840-1911",Annona cherimola,cherimoyas,"Fallbrook, San Diego County, California, United States",1 art original : col. ; 17 x 25 cm. ,24620,1902.0,,1902-04-15,,,
POM00007379,"Passmore, Deborah Griscom, 1840-1911",Annona cherimola,cherimoyas,"Key West, Monroe County, Florida, United States",1 art original : col. ; 17 x 26 cm. ,17435,,,,,,
POM00007380,"Passmore, Deborah Griscom, 1840-1911",Annona cherimola,cherimoyas,"Key West, Monroe County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,17435a,1899.0,,1899-04-22,,,
POM00007376,"Lower, Elsie E., b. 1882",Annona cherimola,cherimoyas,"Orange, Orange County, California, United States",1 art original : col. ; 17 x 25 cm. ,46532,1910.0,,1910-03-29,Golden Russet,,
POM00007377,"Lower, Elsie E., b. 1882",Annona cherimola,cherimoyas,"Orange, Orange County, California, United States",1 art original : col. ; 17 x 25 cm. ,46532a,1910.0,,1910-03-29,Golden Russet,,
POM00007378,"Steadman, Royal Charles, b. 1875",Annona cherimola,cherimoyas,"Orange, Orange County, California, United States",1 art original : col. ; 17 x 25 cm. ,96634,1919.0,C.P. Taft,1919-01-13,Golden Russet,,
POM00007424,"Steadman, Royal Charles, b. 1875",Annona cherimola,cherimoyas,"Orange, Orange County, California, United States",1 art original : col. ; 17 x 25 cm. ,96634a,1919.0,C.P. Taft,1919-01-14,Golden Russet,,
POM00007381,"Schutt, Ellen Isham, 1873-1955",Annona reticulata,custard apple,"Miami, Dade County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,38160,1907.0,Sub-Trop. Laboratory,1907-04-01,,,apple
POM00007382,"Schutt, Ellen Isham, 1873-1955",Annona reticulata,custard apple,,1 art original : col. ; 17 x 25 cm. ,50539,1911.0,,1911-04-18,,,apple
POM00007383,"Schutt, Ellen Isham, 1873-1955",Annona reticulata,custard apple,,1 art original : col. ; 17 x 25 cm. ,50539a,1911.0,,1911-04-19,,,apple
POM00007384,"Newton, Amanda Almira, ca. 1860-1943",Annona reticulata,custard apple,"Miami, Dade County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,38273a,1907.0,Cherimoya,1907-05-02,,,apple
POM00007385,"Newton, Amanda Almira, ca. 1860-1943",Annona reticulata,custard apple,"Miami, Dade County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,38273,1907.0,Cherimoya,1907-05-01,,,apple
POM00007386,"Schutt, Ellen Isham, 1873-1955",Annona reticulata,custard apple,"Miami, Dade County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,38273b,1907.0,Cherimoya,1907-05-02,,,apple
POM00007388,"Passmore, Deborah Griscom, 1840-1911",Annona squamosa,sweetsops,"Santa Barbara, Santa Barbara County, California, United States",1 art original : col. ; 17 x 25 cm. ,46712,1910.0,Cherimoya,1910-04-10,Anona No. 5,,apple
POM00007387,"Lower, Elsie E., b. 1882",Annona squamosa,sweetsops,"Santa Barbara, Santa Barbara County, California, United States",1 art original : col. ; 17 x 25 cm. ,46194,1910.0,Cherimoya,1910-02-01,No. 3,,apple
POM00007389,"Passmore, Deborah Griscom, 1840-1911",Annona squamosa,sweetsops,"Villa City, Lake County, Florida, United States",1 art original : col. ; 16 x 25 cm. ,4440,1892.0,,1892,Sweet Sop,,apple
POM00007390,"Newton, Amanda Almira, ca. 1860-1943",Arachis,peanuts,"South Salem, Ross County, Ohio, United States",1 art original : col. ; 17 x 25 cm. ,40770,1909.0,,1909-05-10,,,nuts
POM00000862,"Steadman, Royal Charles, b. 1875",Asimina triloba,pawpaws (Eastern USA),"Maryland Park, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 26 cm. ,105500,1924.0,native pawpaw,1924-10-14,,,
POM00000302,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,,1 art original : col. ; 16 x 24 cm. ,1119,1919.0,,1919,,,citrus
POM00000331,,Citrus paradisi,grapefruits,,1 art original : col. ; 17 x 24 cm. ,1281,,,,,,citrus
POM00000334,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Homestead, Miami-Dade County, Florida, United States",1 art original : col. ; 17 x 25 cm. ,[00249],1920.0,"Common Florida Grapefruit; A, Picked September 29; Tree 7, Row 38; Stored at Arlington, Virginia, Cold Storage Plant, stored at about 64 degrees Fahrenheit for 8 months",1920-01-30,,Assigned specimen number,citrus
POM00000335,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Florida, United States",1 art original : col. ; 17 x 26 cm. ,[00250],1919.0,"Common Florida Grapefruit; 3rd pick; Tree 4, Row 40",1919-11-17,,Assigned specimen number,citrus
POM00000336,"Newton, Amanda Almira, ca. 1860-1943",Citrus paradisi,grapefruits,"Florida, United States",1 art original : col. ; 17 x 26 cm. ,941919a,1919.0,"Common Florida Grapefruit; Tree 4, Row 40. Picked August 25. Held in storage",1919,,,citrus
POM00000338,"Shull, James Marion, 1872-1948",Citrus paradisi,grapefruits,"Miami, Dade County, Florida, United States",1 art original : col. ; 18 x 24 cm. ,461,1911.0,From natural infection developed in damp chamber; See #452 for first stage,1911,,,citrus
